,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Asylum.mp3,0.38683307,0.18534045,0.30332375,0.2864164,0.1733897,0.39092156,0.21531701,0.31833902,0.2136778,0.17223254,0.3154545,0.2097912
At My Worst.mp3,0.36006632,0.16235304,0.25906217,0.12821655,0.15194687,0.1549702,0.12724413,0.21102662,0.16118948,0.27065808,0.1312644,0.19465522
ATM.mp3,0.27863082,0.51368326,0.33249226,0.2590386,0.36438262,0.28878078,0.32668215,0.38936487,0.62876356,0.49024093,0.31861877,0.3140286
Atmosphere.mp3,0.22109298,0.2817731,0.48264775,0.6445687,0.41060787,0.3813168,0.40029833,0.55344754,0.3544902,0.18924756,0.2168276,0.19608384
ATORRANTE - con Los Palmeras.mp3,0.16350606,0.29415295,0.1573972,0.20172007,0.28176224,0.18622541,0.36179146,0.16444822,0.28590277,0.26384255,0.16665739,0.37254563
Attention.mp3,0.17417684,0.36057353,0.2857883,0.1901391,0.35036895,0.27395764,0.14743692,0.24834043,0.31049502,0.67015433,0.41838455,0.16151112
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN).mp3,0.12997566,0.18331346,0.18576853,0.21265577,0.3586296,0.39662364,0.69980943,0.5826791,0.41620284,0.35022768,0.20905684,0.22004396
august.mp3,0.43149516,0.14906062,0.1864983,0.100998,0.24798577,0.34914663,0.20016871,0.30441704,0.21620421,0.4765178,0.3969532,0.23203799
Aullando.mp3,0.37582657,0.45321342,0.17012998,0.19814539,0.103509635,0.18080327,0.19315575,0.14577484,0.26281652,0.19293307,0.35462156,0.18485177
Austin (Boots Stop Workin').mp3,0.3654825,0.24422887,0.325221,0.31551316,0.47251981,0.44608462,0.34689426,0.44626662,0.36138898,0.40874645,0.26528487,0.31081623
Automotivo Bibi Fogosa.mp3,0.3962217,0.23377202,0.38263962,0.24626382,0.26312998,0.15802641,0.16906658,0.16295137,0.1578994,0.19229275,0.24513467,0.739561
Avalon.mp3,0.4960946,0.5186789,0.68720937,0.62544376,0.5955212,0.49276602,0.31336486,0.22665346,0.32021347,0.6863024,0.54990983,0.43224597
